NO,food,ENERC_KCAL,PROT-,FAT-,CHOAVLDF-,K,CA,MG,P,FE,ZN,CU,VITA_RAE,VITD,TOCPHA,VITK ,THIA,RIBF,NE,VITB6A,VITB12,FOL,PANTAC,VITC,FIB-,NACL_EQ
613,（だいこん類）　漬物　いぶりがっこ,76,1.1,0.3,13.9,350,42,31,77,0.4,0.3,0.03,0,0,0,0,0.08,0.02,1,0.12,0,10,0.22,0,7.1,3.5
614,（だいこん類）　漬物　ぬかみそ漬,29,1.3,0.1,5.2,480,44,40,44,0.3,0.1,0.02,0,0,0,1,0.33,0.04,2.9,0.22,0,98,0.43,15,1.8,3.8
615,（だいこん類）　漬物　たくあん漬　塩押しだいこん漬,43,0.6,0.3,8.5,56,16,5,12,0.2,0.1,0.03,0,0,0,0,0.01,0.01,0.2,0.01,0,10,0.03,40,2.3,3.3
616,（だいこん類）　漬物　たくあん漬　干しだいこん漬,23,1.9,0.1,2.3,500,76,80,150,1,0.8,0.05,0,0,0,0,0.21,0.03,1.9,0.22,0,47,0.66,12,3.7,2.5
617,（だいこん類）　漬物　守口漬,194,5.3,0.2,41,100,26,9,72,0.7,0.8,0.12,0,0,0,0,0.05,0.17,1.6,0.32,0,45,0.19,0,3.3,3.6
618,（だいこん類）　漬物　べったら漬,53,0.4,0.2,11.5,190,15,6,24,0.2,0.1,0.02,0,0,0,0,0,0.11,0.1,0,12,0,0.07,49,1.6,2.8
619,（だいこん類）　漬物　みそ漬,52,2.1,0.3,9,80,18,12,42,0.3,0.2,0.03,0,0,0,0,3.7,0.01,0.5,0.01,0,9,0.04,0,2.1,7.2
620,（だいこん類）　漬物　福神漬,137,2.7,0.1,29.4,100,36,13,29,1.3,0.1,0.05,8,0,0.1,7,0.02,0.1,0.5,0,0,3,0,0,3.9,5.1
621,（たいさい類）　つまみな　葉　生,19,1.9,0.3,1.7,450,210,30,55,3.3,0.4,0.07,160,0,1.4,270,0.06,0.14,1.7,0.1,0,65,0.33,47,2.3,0.1
622,（たいさい類）　たいさい　葉　生,15,0.9,0.1,2.1,340,79,22,49,1.1,0.7,0.03,130,0,0.9,110,0.07,0.07,0.8,0.08,0,120,0.14,45,1.6,0.1
623,（たいさい類）　たいさい　塩漬,19,1.6,0.1,2.1,330,78,22,45,1.3,1,0.05,180,0,1.1,140,0.03,0.07,1.1,0.1,0,120,0.19,41,2.5,1.8
