NO,food,ENERC_KCAL,PROT-,FAT-,CHOAVLDF-,K,CA,MG,P,FE,ZN,CU,VITA_RAE,VITD,TOCPHA,VITK ,THIA,RIBF,NE,VITB6A,VITB12,FOL,PANTAC,VITC,FIB-,NACL_EQ
2051,＜和生菓子・和半生菓子類＞　きりざんしょ,245,2.1,0.3,59.4,31,2,8,32,0.3,0.3,0.07,0,0,0.1,0,0.03,0.01,0.9,0.04,0,4,0.22,0,0.2,0.2
2052,＜和生菓子・和半生菓子類＞　きんぎょく糖,282,0,0,71.2,2,7,1,0,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0
2053,＜和生菓子・和半生菓子類＞　きんつば,260,6,0.7,54.1,160,20,22,73,1.4,0.7,0.19,0,0,0.1,6,0.03,0.03,1.2,0.03,0,8,0.22,0,5.5,0.3
2054,＜和生菓子・和半生菓子類＞　草もち　こしあん入り,224,4.2,0.4,50.9,46,22,14,50,1,0.6,0.12,13,0,0.1,11,0.03,0.02,1.3,0.04,0,5,0.21,0,1.9,0
2055,＜和生菓子・和半生菓子類＞　草もち　つぶしあん入り,227,4.8,0.7,49,93,17,11,45,0.7,0.3,0.09,17,0,0.2,15,0.05,0.02,1.1,0.02,0,7,0.26,0,2.7,0.1
2056,＜和生菓子・和半生菓子類＞　くし団子　あん　こしあん入り,198,3.8,0.4,44.8,43,13,13,50,0.7,0.5,0.11,0,0,0.1,1,0.04,0.02,1.3,0.05,0,5,0.27,0,1.2,0.1
2057,＜和生菓子・和半生菓子類＞　くし団子　あん　つぶしあん入り,199,3.8,0.5,44.7,68,6,15,57,0.6,0.6,0.12,0,0,0.1,1,0.04,0.01,1.2,0.06,0,7,0.34,0,1.3,0.1
2058,＜和生菓子・和半生菓子類＞　くし団子　みたらし,194,3.2,0.4,45.1,59,4,13,52,0.4,0.5,0.09,0,0,0.1,0,0.04,0.02,1.3,0.06,0,7,0.33,0,0.3,0.6
2059,＜和生菓子・和半生菓子類＞　くずもち　関西風　くずでん粉製品,93,0.1,0.1,22.5,1,5,1,3,0.5,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,＜和生菓子・和半生菓子類＞　くずもち　関東風　小麦でん粉製品,94,0.1,0.1,22.4,2,4,1,9,0.2,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,＜和生菓子・和半生菓子類＞　げっぺい,347,4.7,8.5,64.1,64,41,24,64,1.1,0.7,0.18,0,0,0.6,2,0.05,0.03,1.5,0.06,0,8,0.23,0,2.1,0
2062,＜和生菓子・和半生菓子類＞　五平もち,178,3,0.5,40.2,58,10,9,41,0.4,0.6,0.1,0,0,0,1,0.02,0.02,1,0.02,0,5,0.21,0,1.3,0.6
2063,＜和生菓子・和半生菓子類＞　桜もち　関西風　こしあん入り,196,3.5,0.3,45,22,18,8,27,0.7,0.5,0.09,0,0,0,2,0.01,0.01,0.8,0.01,0,1,0.05,0,1.7,0.1
2064,＜和生菓子・和半生菓子類＞　桜もち　関西風　つぶしあん入り,197,3,0.3,45.7,43,5,7,25,0.4,0.6,0.1,0,0,0,1,0.01,0.01,0.6,0.02,0,3,0.1,0,1.3,0.1
2065,＜和生菓子・和半生菓子類＞　桜もち　関東風　こしあん入り,235,4.5,0.4,52.3,37,26,11,37,1,0.4,0.09,0,0,0,2,0.02,0.02,1,0,0,2,0.1,0,2.6,0.1
2066,＜和生菓子・和半生菓子類＞　桜もち　関東風　つぶしあん入り,237,4.2,0.6,52.4,82,12,11,41,0.7,0.3,0.09,0,0,0.1,2,0.04,0.02,0.9,0.02,0,5,0.2,0,2.5,0.1
2067,＜和生菓子・和半生菓子類＞　笹だんご　こしあん入り,227,4,0.5,53.3,88,15,15,50,0.5,0.7,0.14,34,0,0.3,26,0.06,0.02,1.2,0.05,0,10,0.25,0,1.9,0
2068,＜和生菓子・和半生菓子類＞　笹だんご　つぶしあん入り,228,4.7,0.6,52.2,91,17,17,61,0.7,0.8,0.16,33,0,0.3,27,0.05,0.02,1.3,0.04,0,10,0.26,0,2.3,0.1
2069,＜和生菓子・和半生菓子類＞　ずんだあん,190,6.3,3.4,35.2,270,42,40,94,1.4,0.7,0.2,13,0,0.3,18,0.13,0.07,1.6,0.04,0,140,0.25,8,2.5,0.2
2070,＜和生菓子・和半生菓子類＞　ずんだもち,212,4.9,1.7,44.5,130,19,19,51,0.6,0.8,0.16,5,0,0.2,7,0.07,0.03,1.2,0.03,0,60,0.31,3,1.3,0.1
2071,＜和生菓子・和半生菓子類＞　大福もち　こしあん入り,223,4.6,0.5,52,33,18,10,32,0.7,0.8,0.13,0,0,0,2,0.02,0.01,1.1,0.02,0,3,0.22,0,1.8,0.1
2072,＜和生菓子・和半生菓子類＞　大福もち　つぶしあん入り,223,4.7,0.6,50.9,86,10,13,44,0.7,0.8,0.16,0,0,0.1,3,0.03,0.02,0.9,0.03,0,6,0.28,0,2.7,0.1
2073,＜和生菓子・和半生菓子類＞　タルト　（和菓子）,287,5.9,3,60.1,64,28,10,66,0.9,0.5,0.07,0,1,0.4,0,0.03,0.11,1.4,0.03,0.3,14,0.38,1,1.5,0.1
2074,＜和生菓子・和半生菓子類＞　ちまき,150,1.3,0.2,36.5,17,1,4,18,0.2,0.2,0.04,0,0,0,0,0.02,0,0.5,0.02,0,3,0.12,0,0.1,0
2075,＜和生菓子・和半生菓子類＞　ちゃつう,320,6.2,4.3,63.4,63,120,41,79,1.9,0.9,0.23,0,0,0,4,0.08,0.05,1.8,0.05,0,8,0.1,0,3.8,0
2076,＜和生菓子・和半生菓子類＞　どら焼　こしあん入り,282,6.6,3.1,57.5,71,26,9,71,0.9,0.5,0.07,0,1,0.4,4,0.05,0.11,1.3,0.03,0.3,15,0.45,0,1.5,0.4
2077,＜和生菓子・和半生菓子類＞　どら焼　つぶしあん入り,292,6.6,3.2,56.9,98,22,11,76,0.8,0.5,0.08,0,1,0.4,5,0.05,0.11,1.7,0.04,0.3,17,0.49,0,1.9,0.4
2078,＜和生菓子・和半生菓子類＞　生八つ橋　あん入り　こしあん入り,274,3.6,0.3,64.3,35,17,12,42,0.8,0.5,0.1,0,0,0,1,0.03,0.02,0.9,0.03,0,3,0.18,0,1.6,0
2079,＜和生菓子・和半生菓子類＞　生八つ橋　あん入り　こしあん・つぶしあん混合,274,3.5,0.3,63.9,51,16,12,41,0.8,0.5,0.1,0,0,0,2,0.02,0.02,0.9,0.02,0,4,0.15,0,2.1,0
2080,＜和生菓子・和半生菓子類＞　生八つ橋　あん入り　つぶしあん入り,275,3.7,0.5,63.4,83,9,14,52,0.8,0.5,0.13,0,0,0.1,2,0.03,0.02,1,0.04,0,6,0.24,0,2.3,0.1
2081,＜和生菓子・和半生菓子類＞　ねりきり,259,5.3,0.3,57.4,33,39,16,46,1.5,0.6,0.13,0,0,0,4,0.01,0.03,1,0,0,1,0.04,0,3.6,0
2082,＜和生菓子・和半生菓子類＞　まんじゅう　カステラまんじゅう　こしあん入り,292,6.7,2.1,61.2,71,38,11,86,1.1,0.5,0.09,0,0.6,0.3,4,0.05,0.08,1.6,0.02,0.2,10,0.35,0,2.4,0.1
2083,＜和生菓子・和半生菓子類＞　まんじゅう　カステラまんじゅう　つぶしあん入り,292,6.9,2.3,59.9,130,29,13,99,1,0.6,0.12,0,0.6,0.3,5,0.05,0.08,1.4,0.04,0.2,14,0.42,0,3.2,0.2
2084,＜和生菓子・和半生菓子類＞　まんじゅう　かるかんまんじゅう　こしあん入り,226,3,0.3,53,92,14,10,35,0.6,0.4,0.09,0,0,0.1,1,0.03,0.02,0.8,0.03,0,4,0.21,1,1.4,0.1
2085,＜和生菓子・和半生菓子類＞　まんじゅう　かるかんまんじゅう　つぶしあん入り,226,3.1,0.4,52.3,130,8,12,43,0.6,0.4,0.11,0,0,0.1,2,0.04,0.02,0.8,0.04,0,6,0.25,1,1.9,0.1
2086,＜和生菓子・和半生菓子類＞　まんじゅう　くずまんじゅう　こしあん入り,216,3.1,0.2,49.8,22,24,10,30,0.9,0.3,0.08,0,0,0,2,0.01,0.02,0.6,0,0,1,0.02,0,2.2,0.1
2087,＜和生菓子・和半生菓子類＞　まんじゅう　くずまんじゅう　つぶしあん入り,218,1.3,0.1,52.4,41,6,6,22,0.4,0.2,0.05,0,0,0,1,0,0.01,0.2,0.01,0,2,0.04,0,1.3,0.1
2088,＜和生菓子・和半生菓子類＞　まんじゅう　くりまんじゅう　こしあん入り,296,6.5,1.4,65.5,65,42,15,67,1.4,0.6,0.12,0,0.3,0.2,4,0.04,0.06,1.5,0.01,0.1,7,0.23,0,3.3,0.1
2089,＜和生菓子・和半生菓子類＞　まんじゅう　くりまんじゅう　つぶしあん入り,295,6.7,1.6,63.5,160,26,20,87,1.3,0.7,0.17,0,0.3,0.2,5,0.04,0.06,1.3,0.04,0.1,12,0.34,0,4.7,0.2
2090,＜和生菓子・和半生菓子類＞　まんじゅう　とうまんじゅう　こしあん入り,296,6.8,3.1,61.6,46,24,8,59,0.9,0.5,0.06,0,0.3,0.4,4,0.05,0.11,1.6,0.03,0.3,15,0.44,0,1.7,0.1
2091,＜和生菓子・和半生菓子類＞　まんじゅう　とうまんじゅう　つぶしあん入り,294,6.9,3.3,60.1,84,18,10,67,0.8,0.5,0.08,0,0.4,0.4,5,0.05,0.12,1.4,0.04,0.3,18,0.49,0,2.3,0.1
2092,＜和生菓子・和半生菓子類＞　まんじゅう　蒸しまんじゅう　こしあん入り,257,4.6,0.5,57.7,43,24,11,46,0.9,0.4,0.08,0,0,0.1,2,0.03,0.02,1,0.01,0,3,0.14,0,2.4,0.1
2093,＜和生菓子・和半生菓子類＞　まんじゅう　蒸しまんじゅう　つぶしあん入り,257,4.7,0.7,56.4,100,14,14,59,0.9,0.4,0.12,0,0,0.1,3,0.04,0.02,1,0.02,0,6,0.22,0,3.4,0.2
2094,＜和生菓子・和半生菓子類＞　まんじゅう　中華まんじゅう　あんまん　こしあん入り,273,6.1,5.6,49.5,65,58,23,57,1.1,0.6,0.14,0,0,0.1,2,0.08,0.03,1.7,0.04,0,9,0.27,0,2.6,0
2095,＜和生菓子・和半生菓子類＞　まんじゅう　中華まんじゅう　あんまん　つぶしあん入り,279,6.2,6,48.2,110,55,26,67,1.1,0.6,0.17,0,0,0.1,3,0.08,0.03,1.5,0.05,0,12,0.32,0,3.3,0.1
2096,＜和生菓子・和半生菓子類＞　まんじゅう　中華まんじゅう　肉まん,242,10,5.1,42,310,28,20,87,0.8,1.2,0.12,3,0.1,0,9,0.23,0.1,3.9,0.16,0.1,38,0.8,7,3.2,1.2
2097,＜和生菓子・和半生菓子類＞　もなか　こしあん入り,277,4.9,0.3,63.3,32,33,14,41,1.2,0.6,0.12,0,0,0,3,0.01,0.02,1,0,0,1,0.08,0,3.1,0
2098,＜和生菓子・和半生菓子類＞　もなか　つぶしあん入り,278,6.4,0.7,58.4,170,21,25,80,1.6,0.8,0.23,0,0,0.1,6,0.02,0.03,1.2,0.03,0,9,0.23,0,6.1,0.2
2099,＜和生菓子・和半生菓子類＞　ゆべし,321,2.4,3.5,70.9,62,6,15,41,0.4,0.4,0.11,0,0,0.1,0,0.03,0.02,0.9,0.06,0,8,0.19,0,0.5,0.6
2100,＜和生菓子・和半生菓子類＞　ようかん　練りようかん,289,3.6,0.2,67.4,24,33,12,32,1.1,0.4,0.09,0,0,0,3,0.01,0.02,0.7,0,0,1,0.03,0,3.1,0
2101,＜和生菓子・和半生菓子類＞　ようかん　水ようかん,168,2.6,0.2,38.2,17,23,8,23,0.8,0.3,0.06,0,0,0,2,0.01,0.01,0.5,0,0,1,0.02,0,2.2,0.1
2102,＜和生菓子・和半生菓子類＞　ようかん　蒸しようかん,237,4.4,0.3,53.2,32,30,13,37,1.1,0.4,0.1,0,0,0,3,0.02,0.02,0.9,0,0,1,0.06,0,2.8,0.2
2103,＜和干菓子類＞　あめ玉,385,0,0,97.5,2,1,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2104,＜和干菓子類＞　芋かりんとう,465,1.4,20.6,73.9,550,41,28,54,0.7,0.2,0.2,3,0,4.3,35,0.13,0.05,1.2,0.3,0,57,1.03,33,2.6,0
2105,＜和干菓子類＞　おこし,376,3.8,0.7,90.4,25,4,5,22,0.2,0.8,0.12,0,0,0,1,0.02,0.01,1.1,0.02,0,3,0.12,0,0.4,0.2
2106,＜和干菓子類＞　おのろけ豆,438,11.3,13.6,68.6,270,17,70,180,1.1,1.6,0.33,0,0,2.9,0,0.13,0.05,9.3,0.21,0,24,1.09,0,2.3,1
2107,＜和干菓子類＞　かりんとう　黒,420,7.5,11.6,76.1,300,66,27,57,1.6,0.7,0.16,0,0,1.6,18,0.1,0.05,2.4,0.21,0,25,0.84,0,1.2,0
2108,＜和干菓子類＞　かりんとう　白,424,9.7,11.2,75.6,71,17,27,68,0.8,0.8,0.15,0,0,1.6,17,0.12,0.05,3,0.07,0,31,0.72,0,1.7,0
2109,＜和干菓子類＞　ごかぼう,367,10.6,6.4,68.4,500,48,64,170,2,1.4,0.33,0,0,0.4,6,0.03,0.06,3.1,0.13,0,55,0.3,0,4.5,0
2110,＜和干菓子類＞　小麦粉せんべい　磯部せんべい,377,4.3,0.8,88.4,59,11,6,31,0.3,0.1,0.05,0,0,0.1,0,0.06,0.02,1.2,0.02,0,4,0.27,0,1.3,1.3
2111,＜和干菓子類＞　小麦粉せんべい　かわらせんべい,388,7,3.2,84.8,54,10,6,70,0.6,0.4,0.05,0,0.3,0.4,3,0.07,0.11,1.9,0.04,0.3,16,0.54,0,1.2,0.1
2112,＜和干菓子類＞　小麦粉せんべい　巻きせんべい,386,4.3,1.4,89.8,70,21,5,53,0.3,0.2,0.04,0,0.3,0.2,1,0.05,0.04,1.2,0.02,0.1,7,0.31,0,1,0.1
2113,＜和干菓子類＞　小麦粉せんべい　南部せんべい　ごま入り,423,11.2,11.1,68.7,170,240,78,150,2.2,1.3,0.38,0,0,0.3,1,0.27,0.08,4.2,0.14,0,25,0.59,0,4.2,1.1
2114,＜和干菓子類＞　小麦粉せんべい　南部せんべい　落花生入り,421,11.7,9.5,71.4,230,26,40,120,0.7,0.7,0.18,0,0,2.2,0,0.17,0.05,6.3,0.11,0,21,0.91,0,3.5,0.9
2115,＜和干菓子類＞　しおがま,347,2.6,0.2,85.5,42,14,7,17,0.2,0.6,0.09,85,0,0.2,33,0.02,0.02,0.8,0.02,0,7,1.33,0,0.6,1.5
2116,＜和干菓子類＞　ひなあられ　関西風,384,8,1.4,85.6,150,15,35,150,0.5,2.4,0.38,0,0,0.1,0,0.09,0.05,2.8,0.09,0,15,1.02,0,1.3,1.7
2117,＜和干菓子類＞　ひなあられ　関東風,380,9.6,2.8,79.4,260,26,47,180,1.1,2.4,0.4,0,0,0.2,2,0.08,0.06,2.6,0.12,0,27,0.95,0,2.5,1.5
2118,＜和干菓子類＞　米菓　揚げせんべい,458,5.6,17.4,72,82,5,21,87,0.7,0.9,0.17,0,0,2.3,28,0.08,0.02,2.5,0.11,0,11,0.61,0,0.5,1.2
2119,＜和干菓子類＞　米菓　甘辛せんべい,374,6.7,0.9,86.5,120,7,28,110,0.9,1,0.19,0,0,0.2,0,0.09,0.03,2.8,0.13,0,14,0.69,0,0.6,1.2
2120,＜和干菓子類＞　米菓　あられ,378,7.5,1,85,99,8,17,55,0.3,1.6,0.21,0,0,0.1,0,0.06,0.03,2.2,0.06,0,11,0.63,0,0.8,1.7
2121,＜和干菓子類＞　米菓　しょうゆせんべい,368,7.3,1,84.3,130,8,30,120,1,1.1,0.2,0,0,0.2,0,0.1,0.04,3,0.14,0,16,0.75,0,0.6,1.3
2122,＜和干菓子類＞　ボーロ　小粒,391,2.5,2.1,91.1,44,15,5,54,0.6,0.2,0.03,0,0.8,0.3,2,0.01,0.07,0.6,0.02,0.2,10,0.23,0,0,0.1
2123,＜和干菓子類＞　ボーロ　そばボーロ,398,7.7,3.4,85.5,130,21,30,110,0.9,0.7,0.12,0,0.9,0.4,3,0.12,0.11,2.6,0.07,0.3,21,0.68,0,1.5,0.3
2124,＜和干菓子類＞　松風,378,4,0.7,88.9,54,10,6,29,0.3,0.1,0.05,0,0,0.1,0,0.05,0.02,1.1,0.01,0,4,0.26,0,1.2,0.1
2125,＜和干菓子類＞　みしま豆,402,12.3,8.6,71,680,65,86,220,2.7,1.4,0.38,0,0,0.6,9,0.02,0.08,3.6,0.17,0,75,0.34,0,6,0
2126,＜和干菓子類＞　八つ橋,390,3.3,0.5,94.4,49,3,13,51,0.4,0.8,0.13,0,0,0.1,0,0.04,0.01,1.4,0.07,0,7,0.36,0,0.3,0
2127,＜和干菓子類＞　らくがん　らくがん,384,2.4,0.2,94.5,19,3,3,17,0.2,0.5,0.08,0,0,0,0,0.01,0,0.7,0.01,0,2,0.07,0,0.2,0
2128,＜和干菓子類＞　らくがん　麦らくがん,396,4.8,1.8,85.8,170,16,46,120,1.1,1.4,0.16,0,0,0.2,0,0.03,0.04,3.8,0.03,0,9,0.11,0,5.4,0
2129,＜和干菓子類＞　らくがん　もろこしらくがん,374,6.6,0.3,84.1,51,16,22,58,1.8,0.7,0.13,0,0,0,1,0.01,0.01,1.5,0.01,0,1,0.08,0,6.9,0.3
2130,＜菓子パン類＞　揚げパン,369,8.7,18.7,43.8,110,42,19,86,0.6,0.7,0.09,2,0,4.3,0,0.18,0.13,2.7,0.05,0.1,33,0.32,0,1.8,1.1
2131,＜菓子パン類＞　あんパン　こしあん入り,253,6.8,3.6,51.9,66,31,16,57,1,0.7,0.11,0,0.2,0.4,2,0.06,0.07,1.7,0.03,0.1,28,0.36,0,2.5,0.3
2132,＜菓子パン類＞　あんパン　つぶしあん入り,266,7,3.8,50.7,120,23,18,68,1,0.7,0.14,0,0.2,0.4,3,0.06,0.07,1.7,0.04,0.1,32,0.43,0,3.3,0.3
2133,＜菓子パン類＞　あんパン　薄皮タイプ　こしあん入り,257,6.6,3.5,50.6,64,30,15,55,1,0.6,0.1,0,0.2,0.4,2,0.06,0.07,1.7,0.03,0.1,27,0.35,0,2.4,0.3
2134,＜菓子パン類＞　あんパン　薄皮タイプ　つぶしあん入り,258,6.8,3.7,49.2,110,22,18,66,0.9,0.7,0.13,0,0.2,0.4,3,0.06,0.07,1.7,0.04,0.1,31,0.41,0,3.2,0.3
2135,＜菓子パン類＞　カレーパン　皮及び具,302,6.6,18.3,32.5,130,24,17,91,0.7,0.6,0.07,34,0,2.1,8,0.11,0.15,2.2,0.05,0.1,17,0.26,0,1.6,1.2
2136,＜菓子パン類＞　カレーパン　皮のみ,363,7.2,22.4,39.2,100,23,16,100,0.7,0.6,0.08,10,0,2.7,9,0.11,0.18,2.4,0.04,0.1,21,0.26,0,1.3,1
2137,＜菓子パン類＞　カレーパン　具のみ,168,5.3,9.3,17.5,200,28,19,69,0.7,0.7,0.07,87,0,0.7,5,0.11,0.07,2,0.07,0.1,9,0.24,0,2.4,1.8
2138,＜菓子パン類＞　クリームパン,286,7.9,7.4,48.3,110,56,15,110,0.8,0.8,0.08,52,1.1,0.8,4,0.1,0.14,2,0.07,0.4,46,0.81,0,1.3,0.4
2139,＜菓子パン類＞　クリームパン　薄皮タイプ,218,6,7.1,34.6,110,71,11,120,0.7,0.8,0.05,86,1.4,0.7,5,0.07,0.15,1.6,0.06,0.5,34,0.82,0,0.6,0.2
2140,＜菓子パン類＞　ジャムパン,285,5.3,3.9,57.2,84,20,12,47,0.5,0.5,0.07,0,0.2,0.5,2,0.07,0.07,1.6,0.04,0.1,40,0.42,3,1.6,0.3
2141,＜菓子パン類＞　チョココロネ,321,5.8,15.3,44.6,160,76,18,92,0.6,0.6,0.09,21,1.4,2,7,0.07,0.14,1.6,0.04,0.2,25,0.59,0,1.1,0.4
2142,＜菓子パン類＞　チョコパン　薄皮タイプ,340,4.7,19.4,40.5,190,98,18,100,0.5,0.5,0.08,30,1.9,2.6,9,0.06,0.15,1.3,0.03,0.2,14,0.58,0,0.8,0.4
2143,＜菓子パン類＞　メロンパン,349,8,10.5,59.6,110,26,16,84,0.6,0.6,0.09,40,0.2,1.2,3,0.09,0.1,2.4,0.05,0.1,29,0.38,0,1.7,0.5
2144,＜菓子パン類＞　菓子パン　あんなし,294,8.2,6.1,53.3,92,26,16,67,0.6,0.7,0.09,0,0.4,0.7,1,0.1,0.11,2.3,0.05,0.1,49,0.61,0,1.7,0.5
2145,＜ケーキ・ペストリー類＞　シュークリーム,223,6,11.4,26.8,100,65,7,70,0.2,0.3,0.02,130,2,0.8,8,0.07,0.18,1.6,0.07,0.3,27,0.91,1,0.3,0.2
2146,＜ケーキ・ペストリー類＞　スポンジケーキ,283,7.9,7.5,53.3,33,6,3,18,0.2,0.1,0.03,24,1.7,0.7,6,0.06,0.18,2.1,0.05,0.5,24,0.68,0,0.7,0
2147,＜ケーキ・ペストリー類＞　ショートケーキ　果実なし,318,6.9,15.2,43.6,25,5,3,14,0.1,0.1,0.02,63,1.4,0.6,6,0.05,0.15,1.8,0.04,0.4,19,0.53,0,0.6,0
2148,＜ケーキ・ペストリー類＞　ショートケーキ　いちご,314,6.9,14.7,43.5,24,5,3,21,0.2,0.1,0.03,61,1.3,0.7,7,0.05,0.15,1.4,0.05,0.4,40,0.59,15,0.9,0
2149,＜ケーキ・ペストリー類＞　タルト　（洋菓子）,248,4.7,13.5,30.3,12,28,2,69,0.3,0.3,0.05,110,0.9,0.8,7,0.06,0.12,1.4,0.06,0.1,80,0.7,46,1.4,0.1
2150,＜ケーキ・ペストリー類＞　チーズケーキ　ベイクドチーズケーキ,299,8.5,21.2,25.2,90,54,9,97,0.5,0.7,0.02,190,1.2,2.1,10,0.04,0.23,2.2,0.05,0.3,20,0.55,2,0.2,0.5
2151,＜ケーキ・ペストリー類＞　チーズケーキ　レアチーズケーキ,348,5.8,27.5,24.7,93,98,9,75,0.2,0.4,0.03,160,0.2,0.7,8,0.04,0.16,1.3,0.03,0.1,8,0.34,2,0.3,0.5
2152,＜ケーキ・ペストリー類＞　デニッシュペストリー　アメリカンタイプ　プレーン,382,6.2,26.3,34.8,92,27,13,68,0.6,0.7,0.07,40,1.6,3.1,9,0.11,0.12,2.2,0.05,0.1,63,0.5,0,2.1,0.8
2153,＜ケーキ・ペストリー類＞　デニッシュペストリー　デンマークタイプ　プレーン　,457,6.5,34,30.5,80,17,13,70,0.7,0.7,0.07,56,2.1,3.9,11,0.11,0.12,2.3,0.06,0.1,62,0.51,0,2.7,0.5
2154,＜ケーキ・ペストリー類＞　デニッシュペストリー　アメリカンタイプ　あん入り　こしあん,330,6,15.6,43.5,68,33,15,60,1,0.6,0.1,24,0.9,1.8,7,0.07,0.08,1.7,0.03,0.1,38,0.31,0,2.9,0.5
2155,＜ケーキ・ペストリー類＞　デニッシュペストリー　アメリカンタイプ　あん入り　つぶしあん,323,6,15.7,40.8,120,23,17,70,1,0.7,0.12,24,0.9,1.9,8,0.07,0.08,1.8,0.04,0.1,41,0.37,0,3.6,0.5
2156,＜ケーキ・ペストリー類＞　デニッシュペストリー　デンマークタイプ　あん入り　こしあん,384,6.5,21.3,44.6,65,29,16,64,1.1,0.7,0.1,35,1.3,2.4,9,0.07,0.09,1.8,0.03,0.1,39,0.33,0,3.3,0.3
2157,＜ケーキ・ペストリー類＞　デニッシュペストリー　デンマークタイプ　あん入り　つぶしあん,387,6.6,22,42.9,120,19,19,77,1.1,0.7,0.14,36,1.3,2.5,10,0.08,0.09,1.9,0.05,0.1,43,0.41,0,4.2,0.4
2158,＜ケーキ・ペストリー類＞　デニッシュペストリー　アメリカンタイプ　あん入り　カスタードクリーム,304,5.8,19.3,31.5,100,51,11,96,0.6,0.7,0.06,71,1.7,2.2,8,0.09,0.14,1.9,0.06,0.3,49,0.65,0,1.4,0.5
2159,＜ケーキ・ペストリー類＞　デニッシュペストリー　デンマークタイプ　あん入り　カスタードクリーム,419,7.3,29.6,36.3,110,55,14,120,0.9,0.9,0.07,100,2.5,3.3,12,0.11,0.16,2.3,0.07,0.4,60,0.8,0,2.8,0.5
2160,＜ケーキ・ペストリー類＞　ドーナッツ　イーストドーナッツ　プレーン,379,7.2,20.2,43.8,100,41,13,73,0.5,0.6,0.07,0,0.2,2.5,25,0.09,0.11,1.9,0.05,0.1,37,0.56,0,1.5,0.8
2161,＜ケーキ・ペストリー類＞　ドーナッツ　イーストドーナッツ　あん入り　こしあん,341,6.8,12.6,50.9,77,43,15,66,1,0.6,0.1,0,0.1,1.5,17,0.06,0.08,1.6,0.03,0.1,23,0.36,0,2.6,0.5
2162,＜ケーキ・ペストリー類＞　ドーナッツ　イーストドーナッツ　あん入り　つぶしあん,341,7,13,49.4,64,26,8,46,0.3,0.4,0.05,0,0.1,1.6,18,0.06,0.08,1.7,0.04,0.1,27,0.43,0,3.4,0.5
2163,＜ケーキ・ペストリー類＞　ドーナッツ　イーストドーナッツ　あん入り　カスタードクリーム,371,7.7,18.9,45.3,77,31,10,56,0.4,0.5,0.06,56,1,2.2,22,0.1,0.16,1.5,0.07,0.2,40,0.84,0,1.2,0.6
2164,＜ケーキ・ペストリー類＞　ドーナッツ　ケーキドーナッツ　プレーン,368,7.2,11.7,60.1,85,31,6,55,0.2,0.2,0.04,4,0.9,1.3,9,0.07,0.12,2,0.04,0.3,16,0.58,0,1.2,0.3
2165,＜ケーキ・ペストリー類＞　ドーナッツ　ケーキドーナッツ　あん入り　こしあん,351,8.3,5.4,62.4,41,25,11,37,0.9,0.4,0.09,17,0.7,0.5,6,0.05,0.14,1.6,0.04,0.3,18,0.5,0,2.4,0
2166,＜ケーキ・ペストリー類＞　ドーナッツ　ケーキドーナッツ　あん入り　つぶしあん,352,8.6,5.7,60.9,110,14,14,50,0.9,0.4,0.12,17,0.7,0.6,8,0.05,0.14,1.6,0.05,0.3,22,0.58,0,3.4,0.1
2167,＜ケーキ・ペストリー類＞　ドーナッツ　ケーキドーナッツ　あん入り　カスタードクリーム,371,9.6,10.5,57.7,30,6,3,16,0.1,0.1,0.03,86,1.8,1,9,0.09,0.24,1.8,0.08,0.5,35,1.07,0,0.7,0
2168,＜ケーキ・ペストリー類＞　パイ　パイ皮,386,5,25.4,36.1,50,9,9,31,0.3,0.3,0.06,0,0,2.5,2,0.05,0.02,1.3,0.02,0,6,0.32,0,1.3,1
2169,＜ケーキ・ペストリー類＞　パイ　アップルパイ,294,4,17.5,33.2,64,6,6,32,0.2,0.2,0.05,0,0.2,2.2,9,0.02,0.01,1.1,0.02,0,4,0.05,1,1.2,0.7
2170,＜ケーキ・ペストリー類＞　パイ　ミートパイ,381,9.7,29.9,23.9,170,14,15,74,0.6,0.8,0.09,67,0.4,3.6,16,0.17,0.06,3.5,0.11,0.1,9,0.33,1,1.8,1.6
2171,＜ケーキ・ペストリー類＞　バターケーキ,422,5.8,25.3,49.8,74,22,7,67,0.6,0.4,0.04,140,1.2,0.8,8,0.05,0.12,1.5,0.03,0.3,16,0.48,0,0.7,0.6
2172,＜ケーキ・ペストリー類＞　ホットケーキ,253,7.7,5.4,45.2,210,110,13,160,0.5,0.5,0.05,21,0.7,0.5,3,0.08,0.16,2.1,0.05,0.3,15,0.68,0,1.1,0.7
2173,＜ケーキ・ペストリー類＞　ワッフル　カスタードクリーム入り,241,7.3,7.9,38.7,150,83,11,110,0.4,0.5,0.04,72,1.6,0.8,6,0.08,0.18,1.9,0.06,0.3,23,0.9,1,0.8,0.2
2174,＜ケーキ・ペストリー類＞　ワッフル　ジャム入り,279,4.9,4.2,56.6,130,52,11,80,0.4,0.4,0.05,10,0.6,0.5,4,0.05,0.1,1.4,0.04,0.2,22,0.48,5,1.3,0.1
